movie_id;title;year;genres;genre_count
1;Toy Story;1995;Adventure|Animation|Children|Comedy|Fantasy;5
2;Jumanji;1995;Adventure|Children|Fantasy;3
3;Grumpier Old Men;1995;Comedy|Romance;2
4;Waiting to Exhale;1995;Comedy|Drama|Romance;3
5;Father of the Bride Part II;1995;Comedy;1
6;Heat;1995;Action|Crime|Thriller;3
7;Sabrina;1995;Comedy|Romance;2
8;Tom and Huck;1995;Adventure|Children;2
9;Sudden Death;1995;Action;1
10;GoldenEye;1995;Action|Adventure|Thriller;3
11;American President, The;1995;Comedy|Drama|Romance;3
12;Dracula: Dead and Loving It;1995;Comedy|Horror;2
13;Balto;1995;Adventure|Animation|Children;3
14;Nixon;1995;Drama;1
15;Cutthroat Island;1995;Action|Adventure|Romance;3
16;Casino;1995;Crime|Drama;2
17;Sense and Sensibility;1995;Drama|Romance;2
18;Four Rooms;1995;Comedy;1
19;Ace Ventura: When Nature Calls;1995;Comedy;1
20;Money Train;1995;Action|Comedy|Crime|Drama|Thriller;5
21;Get Shorty;1995;Comedy|Crime|Thriller;3
22;Copycat;1995;Crime|Drama|Horror|Mystery|Thriller;5
23;Assassins;1995;Action|Crime|Thriller;3
24;Powder;1995;Drama|Sci-Fi;2
25;Leaving Las Vegas;1995;Drama|Romance;2
26;Othello;1995;Drama;1
27;Now and Then;1995;Children|Drama;2
28;Persuasion;1995;Drama|Romance;2
29;City of Lost Children, The;;Adventure|Drama|Fantasy|Mystery|Sci-Fi;5
30;Shanghai Triad;;Crime|Drama;2
31;Dangerous Minds;1995;Drama;1
32;Twelve Monkeys;;Mystery|Sci-Fi|Thriller;3
34;Babe;1995;Children|Drama;2
36;Dead Man Walking;1995;Crime|Drama;2
38;It Takes Two;1995;Children|Comedy;2
39;Clueless;1995;Comedy|Romance;2
40;Cry, the Beloved Country;1995;Drama;1
41;Richard III;1995;Drama|War;2
42;Dead Presidents;1995;Action|Crime|Drama;3
43;Restoration;1995;Drama;1
44;Mortal Kombat;1995;Action|Adventure|Fantasy;3
45;To Die For;1995;Comedy|Drama|Thriller;3
46;How to Make an American Quilt;1995;Drama|Romance;2
47;Seven;;Mystery|Thriller;2
48;Pocahontas;1995;Animation|Children|Drama|Musical|Romance;5
49;When Night Is Falling;1995;Drama|Romance;2
50;Usual Suspects, The;1995;Crime|Mystery|Thriller;3
52;Mighty Aphrodite;1995;Comedy|Drama|Romance;3
53;Lamerica;1994;Adventure|Drama;2
54;Big Green, The;1995;Children|Comedy;2
55;Georgia;1995;Drama;1
57;Home for the Holidays;1995;Drama;1
58;Postman, The;;Comedy|Drama|Romance;3
60;Indian in the Cupboard, The;1995;Adventure|Children|Fantasy;3
61;Eye for an Eye;1996;Drama|Thriller;2
62;Mr. Holland's Opus;1995;Drama;1
63;Don't Be a Menace to South Central While Drinking Your Juice in the Hood;1996;Comedy|Crime;2
